id	url	folder	contentType	altText	fileSize
1546	/uploads/site-51/galeriehaus/aussen/05-herbstmorgen-grosser-zug-1200.jpg	galeriehaus/aussen	image/jpeg	Herbstmorgen am Großen Zug, Blick aufs Wasser	292603
1545	/uploads/site-51/galeriehaus/aussen/05-herbstmorgen-grosser-zug-800.jpg	galeriehaus/aussen	image/jpeg	Herbstmorgen am Großen Zug, Blick aufs Wasser	143161
1544	/uploads/site-51/region/kruepelsee/kruepelsee-08-winterlicher-see-vogelschwarm-1200.jpg	region/kruepelsee	image/jpeg	Winterlicher Krüpelsee mit Vogelschwarm über dem verschneiten Ufer	83215
1543	/uploads/site-51/region/kruepelsee/kruepelsee-08-winterlicher-see-vogelschwarm-800.jpg	region/kruepelsee	image/jpeg	Winterlicher Krüpelsee mit Vogelschwarm über dem verschneiten Ufer	35010
1542	/uploads/site-51/region/kruepelsee/kruepelsee-04-schwaene-im-morgennebel-1200.jpg	region/kruepelsee	image/jpeg	Zwei Schwäne im Morgennebel auf dem Krüpelsee	80099
1541	/uploads/site-51/region/kruepelsee/kruepelsee-04-schwaene-im-morgennebel-800.jpg	region/kruepelsee	image/jpeg	Zwei Schwäne im Morgennebel auf dem Krüpelsee	34315
1540	/uploads/site-51/galeriehaus/aussen/steg-grosser-zug-motorboot-blaue-stuehle-1200.jpg	galeriehaus/aussen	image/jpeg	Steg am Großen Zug mit Motorboot und zwei blauen Stühlen, Blick über den See	191983
1539	/uploads/site-51/galeriehaus/aussen/steg-grosser-zug-motorboot-blaue-stuehle-800.jpg	galeriehaus/aussen	image/jpeg	Steg am Großen Zug mit Motorboot und zwei blauen Stühlen, Blick über den See	92607
1538	/uploads/site-51/region/kruepelsee/kruepelsee-senzig-20-abendrot-ueber-dem-wasser-1200.jpg	region/kruepelsee	image/jpeg	Abendrot über dem Wasser des Krüpelsees bei Senzig	153230
1537	/uploads/site-51/region/kruepelsee/kruepelsee-senzig-20-abendrot-ueber-dem-wasser-800.jpg	region/kruepelsee	image/jpeg	Abendrot über dem Wasser des Krüpelsees bei Senzig	74119
1536	/uploads/site-51/region/kruepelsee/kruepelsee-07-morgennebel-ueber-dem-wasser-1200.jpg	region/kruepelsee	image/jpeg	Morgennebel über dem Krüpelsee	76010
1535	/uploads/site-51/region/kruepelsee/kruepelsee-07-morgennebel-ueber-dem-wasser-800.jpg	region/kruepelsee	image/jpeg	Morgennebel über dem Krüpelsee	35331
1534	/uploads/site-51/villa-fontanestrasse/aussen/kablow-garten-alter-baumbestand-abendlicht-1200.jpg	villa-fontanestrasse/aussen	image/jpeg	Garten mit altem Baumbestand im Abendlicht, Blick zum Krüpelsee	251579
1533	/uploads/site-51/villa-fontanestrasse/aussen/kablow-garten-alter-baumbestand-abendlicht-800.jpg	villa-fontanestrasse/aussen	image/jpeg	Garten mit altem Baumbestand im Abendlicht, Blick zum Krüpelsee	116520
1532	/uploads/site-51/galeriehaus/gaestehaus/17-gaestehaus-aussenansicht-terrasse-1200.jpg	galeriehaus/gaestehaus	image/jpeg	Gästehaus am Großen Zug in Niederlehme, Außenansicht mit Terrasse	230216
1531	/uploads/site-51/galeriehaus/gaestehaus/17-gaestehaus-aussenansicht-terrasse-800.jpg	galeriehaus/gaestehaus	image/jpeg	Gästehaus am Großen Zug in Niederlehme, Außenansicht mit Terrasse	106565
1530	/uploads/site-51/villa-am-kruepelsee/aussen/karl-marx-strasse-006-villa-gartenseite-1200.jpg	villa-am-kruepelsee/aussen	image/jpeg	Altbauvilla am Krüpelsee, Gartenseite mit Terrasse und Trauerweide	256866
1529	/uploads/site-51/villa-am-kruepelsee/aussen/karl-marx-strasse-006-villa-gartenseite-800.jpg	villa-am-kruepelsee/aussen	image/jpeg	Altbauvilla am Krüpelsee, Gartenseite mit Terrasse und Trauerweide	114107
1528	/uploads/site-51/villa-am-kruepelsee/aussen/03-terrasse-am-wasser-1200.jpg	villa-am-kruepelsee/aussen	image/jpeg	Holzterrasse am Wasser mit Blick auf Steg und Krüpelsee	436478
1527	/uploads/site-51/villa-am-kruepelsee/aussen/03-terrasse-am-wasser-800.jpg	villa-am-kruepelsee/aussen	image/jpeg	Holzterrasse am Wasser mit Blick auf Steg und Krüpelsee	192152
1526	/uploads/site-51/villa-am-kruepelsee/aussen/01-titelbild-villa-vom-steg-1200.jpg	villa-am-kruepelsee/aussen	image/jpeg	Holzsteg führt über den Krüpelsee direkt auf die Villa in Zernsdorf zu	347163
1525	/uploads/site-51/villa-am-kruepelsee/aussen/01-titelbild-villa-vom-steg-800.jpg	villa-am-kruepelsee/aussen	image/jpeg	Holzsteg führt über den Krüpelsee direkt auf die Villa in Zernsdorf zu	151623
1524	/uploads/site-51/villa-am-kruepelsee/aussen/hauptbild-villa-am-kruepelsee-steg-hausboot-1200.jpg	villa-am-kruepelsee/aussen	image/jpeg	Villa am Krüpelsee in Zernsdorf vom privaten Steg aus, Hausboot am Ufer im Abendlicht	332636
1520	/uploads/site-51/video/hero-see-loop.mp4	video	video/mp4	Video-Loop: Blick vom Wasser über Stege und Garten auf das Gästehaus am Großen Zug, Niederlehme	2062786
1519	/uploads/site-51/galeriehaus/aussen/steg-grosser-zug-motorboot-blaue-stuehle.jpg	galeriehaus/aussen	image/jpeg	Steg am Großen Zug mit Motorboot und zwei blauen Stühlen, Blick über den See	501749
1518	/uploads/site-51/galeriehaus/aussen/seestrasse-41-017-rasen-und-steg-grosser-zug.jpg	galeriehaus/aussen	image/jpeg	Rasen und Steg am Großen Zug, Blick über den See auf den Wald am gegenüberliegenden Ufer	485758
1517	/uploads/site-51/galeriehaus/aussen/seestrasse-41-009-seehaus-sonnenuntergang.jpg	galeriehaus/aussen	image/jpeg	Seehaus am Großen Zug bei Sonnenuntergang	593816
1516	/uploads/site-51/galeriehaus/aussen/seestrasse-41-008-garten-steg-gaestehaus.jpg	galeriehaus/aussen	image/jpeg	Garten mit alten Kiefern und Steg am Großen Zug, rechts das Gästehaus	510539
1515	/uploads/site-51/galeriehaus/aussen/seestrasse-41-005-herbst-am-see-quadrat.jpg	galeriehaus/aussen	image/jpeg	Herbstatmosphäre am Großen Zug	195819
1514	/uploads/site-51/galeriehaus/aussen/rasen-baumbestand-ufer-grosser-zug-sonnenschirm.jpg	galeriehaus/aussen	image/jpeg	Rasen mit altem Baumbestand hinunter zum Großen Zug, Sonnenschirm am Ufer	928862
1513	/uploads/site-51/galeriehaus/aussen/gaestehaus-aussen-flachdachbau-terrasse-garten.jpg	galeriehaus/aussen	image/jpeg	Gästehaus am Großen Zug von außen: weißer Flachdachbau mit Terrasse und weißen Stühlen im Garten	577079
1512	/uploads/site-51/galeriehaus/aussen/23-garten-mit-privatsteg-und-seeblick.jpg	galeriehaus/aussen	image/jpeg	Garten mit privatem Steg und Seeblick auf den Großen Zug	516363
1511	/uploads/site-51/galeriehaus/aussen/21-villa-aussenansicht-grosser-zug.jpg	galeriehaus/aussen	image/jpeg	Villa am Großen Zug, Außenansicht	243207
1510	/uploads/site-51/galeriehaus/aussen/20-villa-architekturdetail-grosser-zug.jpg	galeriehaus/aussen	image/jpeg	Architekturdetail der Villa am Großen Zug	256369
1509	/uploads/site-51/galeriehaus/aussen/19-herbstlicher-uferblick-grosser-zug.jpg	galeriehaus/aussen	image/jpeg	Herbstlicher Uferblick am Großen Zug	576690
1508	/uploads/site-51/galeriehaus/aussen/18-herbstgarten-am-see-niederlehme.jpg	galeriehaus/aussen	image/jpeg	Herbstgarten am See in Niederlehme	641044
1507	/uploads/site-51/galeriehaus/aussen/08-garten-mit-seeblick-grosser-zug.jpg	galeriehaus/aussen	image/jpeg	Garten mit Seeblick auf den Großen Zug	995835
1506	/uploads/site-51/galeriehaus/aussen/07-privater-steg-bei-nacht.jpg	galeriehaus/aussen	image/jpeg	Privater Steg bei Nacht am Großen Zug	359368
1505	/uploads/site-51/galeriehaus/aussen/06-sonnenuntergang-grosser-zug-hochformat.jpg	galeriehaus/aussen	image/jpeg	Sonnenuntergang über dem Großen Zug	520265
1504	/uploads/site-51/galeriehaus/aussen/05-herbstmorgen-grosser-zug.jpg	galeriehaus/aussen	image/jpeg	Herbstmorgen am Großen Zug, Blick aufs Wasser	682628
