villa-am-kruepelsee/aussen	hauptbild-villa-am-kruepelsee-steg-hausboot.jpg	https://vierstegehaus.de/uploads/site-17/vierstegehaus_website_upload/hauptbild-villa-am-kruepelsee-steg-hausboot.jpg	Villa am Krüpelsee in Zernsdorf vom privaten Steg aus, Hausboot am Ufer im Abendlicht	Startseite Hero-Poster, OG-Standardbild
villa-am-kruepelsee/aussen	01-titelbild-villa-vom-steg.jpg	https://vierstegehaus.de/uploads/site-17/vierstegehaus_website_upload/01-seite-startseite-abschnitt-titelbild-villa-vom-steg-01.jpg	Holzsteg führt über den Krüpelsee direkt auf die Villa in Zernsdorf zu	Hero Maisonette / Villa
villa-am-kruepelsee/aussen	karl-marx-strasse-006-villa-gartenseite.jpg	https://vierstegehaus.de/uploads/site-17/karl-markx-strasse/karl-markx-strasse_006.jpg	Altbauvilla am Krüpelsee, Gartenseite mit Terrasse und Trauerweide	Kartenbild Villa / Maisonette
villa-am-kruepelsee/aussen	03-terrasse-am-wasser.jpg	https://vierstegehaus.de/uploads/site-17/umgebung_alle_objekte/03-seite-aussenbereich-abschnitt-terrasse-am-wasser-01.jpg	Holzterrasse am Wasser mit Blick auf Steg und Krüpelsee	Maisonette, Apartment, Villa
villa-am-kruepelsee/aussen	karl-marx-strasse-001-regenbogen.jpg	https://vierstegehaus.de/uploads/site-17/karl-markx-strasse/karl-markx-strasse_001.jpg	Doppelter Regenbogen über dem Krüpelsee, vom Ufer der Villa in Zernsdorf	Villa, Krüpelsee
villa-am-kruepelsee/aussen	karl-marx-strasse-010-holzpavillon.jpg	https://vierstegehaus.de/uploads/site-17/karl-markx-strasse/karl-markx-strasse_010.png	Überdachter Holzpavillon im Garten der Villa am Krüpelsee	Villa
villa-am-kruepelsee/aussen	karl-marx-strasse-011-sonnenuntergang.jpg	https://vierstegehaus.de/uploads/site-17/karl-markx-strasse/karl-markx-strasse_011.png	Sonnenuntergang über dem Krüpelsee vom Ufergrundstück der Villa	Villa, Startseite
villa-am-kruepelsee/aussen	karl-marx-strasse-003-panorama-hochformat.jpg	https://vierstegehaus.de/uploads/site-17/karl-markx-strasse/karl-markx-strasse_003.jpg	Vertikales Panorama von Villa, Garten und Krüpelsee in Zernsdorf	Hochformat-Kachel
villa-am-kruepelsee/reserve	karl-marx-strasse-007-saunahaus-wintergarten.jpg	https://vierstegehaus.de/uploads/site-17/karl-markx-strasse/karl-markx-strasse_007.jpg	Saunahaus und Wintergarten unter der großen Trauerweide am Krüpelsee	NUR verwenden, wenn Saunanutzung durch Gäste bestätigt ist
villa-am-kruepelsee/reserve	02-salzwasserpool-gartenansicht.jpg	https://vierstegehaus.de/uploads/site-17/vierstegehaus_website_upload/02-seite-aussenbereich-abschnitt-salzwasserpool-gartenansicht-01.jpg	Beheizter Salzwasserpool mit Holzdeck im Garten der Villa am Krüpelsee	NUR verwenden, wenn Poolnutzung durch Gäste bestätigt ist
villa-am-kruepelsee/reserve	karl-marx-strasse-002-salzwasserpool-sommer.jpg	https://vierstegehaus.de/uploads/site-17/karl-markx-strasse/karl-markx-strasse_002.jpg	Salzwasserpool im Sommer, dahinter Garten und Altbauvilla am Krüpelsee	NUR verwenden, wenn Poolnutzung durch Gäste bestätigt ist
villa-am-kruepelsee/reserve	karl-marx-strasse-005-saunahaus-innen.jpg	https://vierstegehaus.de/uploads/site-17/karl-markx-strasse/karl-markx-strasse_005.jpg	Saunahaus von innen: Glassauna mit Holzverkleidung und Ruhesessel	NUR verwenden, wenn Saunanutzung durch Gäste bestätigt ist
villa-am-kruepelsee/innen-unzugeordnet	04-wohnbereich-mit-seeblick.jpg	https://vierstegehaus.de/uploads/site-17/vierstegehaus_website_upload/04-seite-innenraeume-abschnitt-wohnbereich-mit-seeblick-bereinigt-ohne-mop-und-eimer-02.jpg	Wohn- und Essbereich mit Fensterfront zum Krüpelsee, langer Holztisch und Backsteinpfeiler	Villa-Innenraum, Zuordnung Maisonette/Apartment offen – nicht verwenden
villa-am-kruepelsee/innen-unzugeordnet	05-wohnzimmer-panoramafenster-zum-see.jpg	https://vierstegehaus.de/uploads/site-17/vierstegehaus_website_upload/05-seite-innenraeume-abschnitt-wohnzimmer-panoramafenster-zum-see-bereinigt-ohne-mop-und-eimer-02.jpg	Wohnzimmer mit bodentiefem Panoramafenster zum Krüpelsee	Villa-Innenraum, Zuordnung offen – nicht verwenden
villa-am-kruepelsee/innen-unzugeordnet	06-wintergarten-mit-esstisch.jpg	https://vierstegehaus.de/uploads/site-17/vierstegehaus_website_upload/06-seite-innenraeume-abschnitt-wintergarten-mit-esstisch-bereinigt-ohne-mop-und-eimer-02.jpg	Wintergarten mit massivem Esstisch und Lederstühlen, Blick auf Uferwiese und Steg	Villa-Innenraum, Zuordnung offen – nicht verwenden
villa-am-kruepelsee/innen-unzugeordnet	07-essbereich-mit-backsteinbogen.jpg	https://vierstegehaus.de/uploads/site-17/vierstegehaus_website_upload/07-seite-innenraeume-abschnitt-essbereich-mit-backsteinbogen-01.jpg	Essbereich mit Backsteinbogen zur Küche und Industrieleuchten	Villa-Innenraum, Zuordnung offen – nicht verwenden
