1424	/uploads/site-51/brand/favicon-180.png	180x180	Ferien am See – Bildmarke 180 px	Apple-Touch-Icon
1425	/uploads/site-51/brand/favicon.svg	NonexNone	Ferien am See – Bildmarke	Favicon (SVG)
1426	/uploads/site-51/brand/logo-512.png	512x512	Ferien am See – Logo	Logo 512 px
1427	/uploads/site-51/brand/og-default.jpg	1200x630	Villa am Krüpelsee in Zernsdorf vom Steg aus, Hausboot am Ufer im Abendlicht	Standard-OG-Bild 1200×630
1500	/uploads/site-51/galeriehaus/aussen/01-villa-und-gaestehaus-grosser-zug-vom-wasser.jpg	1919x1323	Villa und Gästehaus am Großen Zug bei Tageslicht, Blick vom Wasser	Video-Poster
1501	/uploads/site-51/galeriehaus/aussen/02-ensemble-bei-nacht-grosser-zug.jpg	1925x1059	Ensemble aus Villa und Gästehaus bei Nacht am Großen Zug	Gästehaus-Seite
1502	/uploads/site-51/galeriehaus/aussen/03-seehaus-bei-nacht-niederlehme.jpg	1290x731	Beleuchtetes Seehaus bei Nacht in Niederlehme	Stimmung
1503	/uploads/site-51/galeriehaus/aussen/04-herbstatmosphaere-grosser-zug.jpg	1920x1440	Herbstatmosphäre am Ufer des Großen Zugs	Jahreszeiten Herbst
1504	/uploads/site-51/galeriehaus/aussen/05-herbstmorgen-grosser-zug.jpg	1920x1440	Herbstmorgen am Großen Zug, Blick aufs Wasser	Jahreszeiten Herbst
1505	/uploads/site-51/galeriehaus/aussen/06-sonnenuntergang-grosser-zug-hochformat.jpg	1342x2000	Sonnenuntergang über dem Großen Zug	Hochformat
1506	/uploads/site-51/galeriehaus/aussen/07-privater-steg-bei-nacht.jpg	1920x1440	Privater Steg bei Nacht am Großen Zug	Stimmung; Stegnutzung nicht bestätigt
1507	/uploads/site-51/galeriehaus/aussen/08-garten-mit-seeblick-grosser-zug.jpg	1920x1440	Garten mit Seeblick auf den Großen Zug	Gästehaus-Seite
1508	/uploads/site-51/galeriehaus/aussen/18-herbstgarten-am-see-niederlehme.jpg	1920x1440	Herbstgarten am See in Niederlehme	Jahreszeiten Herbst
1509	/uploads/site-51/galeriehaus/aussen/19-herbstlicher-uferblick-grosser-zug.jpg	1920x1440	Herbstlicher Uferblick am Großen Zug	Jahreszeiten Herbst
1510	/uploads/site-51/galeriehaus/aussen/20-villa-architekturdetail-grosser-zug.jpg	1920x1440	Architekturdetail der Villa am Großen Zug	Gästehaus-Seite (Ensemble)
1511	/uploads/site-51/galeriehaus/aussen/21-villa-aussenansicht-grosser-zug.jpg	1920x1440	Villa am Großen Zug, Außenansicht	Gästehaus-Seite (Ensemble)
1512	/uploads/site-51/galeriehaus/aussen/23-garten-mit-privatsteg-und-seeblick.jpg	1920x1282	Garten mit privatem Steg und Seeblick auf den Großen Zug	Gästehaus-Seite; Stegnutzung nicht bestätigt
1513	/uploads/site-51/galeriehaus/aussen/gaestehaus-aussen-flachdachbau-terrasse-garten.jpg	2000x1500	Gästehaus am Großen Zug von außen: weißer Flachdachbau mit Terrasse und weißen Stühlen im Garten	Alternativ-Hero Gästehaus, Kartenbild (Booking-Foto)
1514	/uploads/site-51/galeriehaus/aussen/rasen-baumbestand-ufer-grosser-zug-sonnenschirm.jpg	2000x1500	Rasen mit altem Baumbestand hinunter zum Großen Zug, Sonnenschirm am Ufer	Garten Gästehaus, Startseite (Booking-Foto)
1515	/uploads/site-51/galeriehaus/aussen/seestrasse-41-005-herbst-am-see-quadrat.jpg	1024x1024	Herbstatmosphäre am See	Quadrat-Kachel
1516	/uploads/site-51/galeriehaus/aussen/seestrasse-41-008-garten-steg-gaestehaus.jpg	1920x1282	Garten mit alten Kiefern und Steg am Großen Zug, rechts das Gästehaus	Gästehaus-Seite; Stegnutzung nicht bestätigt
1517	/uploads/site-51/galeriehaus/aussen/seestrasse-41-009-seehaus-sonnenuntergang.jpg	1920x1282	Seehaus am Großen Zug bei Sonnenuntergang	Stimmung
1518	/uploads/site-51/galeriehaus/aussen/seestrasse-41-017-rasen-und-steg-grosser-zug.jpg	1920x1282	Rasen und Steg am Großen Zug, Blick über den See auf den Wald am gegenüberliegenden Ufer	Gästehaus-Seite, Region; Stegnutzung nicht bestätigt
1519	/uploads/site-51/galeriehaus/aussen/steg-grosser-zug-motorboot-blaue-stuehle.jpg	2000x1500	Steg am Großen Zug mit Motorboot und zwei blauen Stühlen, Blick über den See	See-Abschnitt Gästehaus; Stegnutzung durch Gäste nicht bestätigt (Booking-Foto)
1437	/uploads/site-51/galeriehaus/gaestehaus/01-gaestehaus-terrasse-mit-seeblick.jpg	853x1844	Terrasse des Gästehauses mit Blick auf den Großen Zug	Hochformat-Kachel
1438	/uploads/site-51/galeriehaus/gaestehaus/02-gaestehaus-wohn-und-schlafbereich.jpg	1846x852	Wohn- und Schlafbereich des Gästehauses mit Parkettboden	Breiter Streifen
1439	/uploads/site-51/galeriehaus/gaestehaus/03-gaestehaus-wohnbereich-mit-terrassenzugang.jpg	1844x853	Wohnbereich des Gästehauses mit Zugang zur Terrasse	Breiter Streifen
1440	/uploads/site-51/galeriehaus/gaestehaus/04-gaestehaus-schlafbereich.jpg	852x1846	Schlafbereich im Gästehaus am Großen Zug	Hochformat
1441	/uploads/site-51/galeriehaus/gaestehaus/05-gaestehaus-kuechenzeile.jpg	852x1847	Küchenzeile im Gästehaus	Hochformat
1442	/uploads/site-51/galeriehaus/gaestehaus/06-gaestehaus-badezimmer.jpg	852x1847	Badezimmer des Gästehauses	Hochformat
1443	/uploads/site-51/galeriehaus/gaestehaus/07-gaestehaus-bodengleiche-dusche.jpg	853x1844	Bodengleiche Dusche im barrierefreien Bad des Gästehauses	Hochformat
1444	/uploads/site-51/galeriehaus/gaestehaus/12-gaestehaus-ausblick-grosser-zug.jpg	1920x1440	Ausblick aus dem Gästehaus auf den Großen Zug	Gästehaus-Seite
